customer_id,total_complaints,has_complaint,complaint_recency_days,data_used_gb,calls_made,revenue_inr,tenure,monthly_charges,plan_type,region,contract_type,churn
1001,1,0,999.0,5.2,25,180,12,180,Prepaid,Delhi,Month-to-Month,Yes
1002,2,1,1.0,12.5,40,280,24,280,Postpaid,Mumbai,One Year,No
1003,1,1,2.0,7.8,32,210,8,210,Prepaid,Chennai,Month-to-Month,Yes
1004,1,1,3.0,15.6,55,320,30,320,Postpaid,Delhi,One Year,No
1005,1,1,2.0,3.4,18,120,6,120,Prepaid,Kolkata,Month-to-Month,Yes
1006,1,1,0.0,8.9,35,250,18,250,Prepaid,Pune,One Year,No
1007,1,1,0.0,10.2,42,290,10,290,Postpaid,Bengaluru,Month-to-Month,Yes
1008,1,1,1.0,4.6,20,150,9,150,Prepaid,Hyderabad,Month-to-Month,Yes
1009,1,1,0.0,6.7,28,200,20,200,Prepaid,Jaipur,One Year,No
1010,1,1,0.0,9.1,39,260,22,260,Postpaid,Chandigarh,Two Year,No
